text,date,clean_text,cluster,modified_date
@gcrecords thanks ,2009-05-29 11:35:19,thanks,0,2009-05-29
@italylogue Yes. No idea how many photos I took. Walked a lot of the course - Pincio to Collosseo. Back to Milan domani AM ,2009-06-02 05:27:08,yes idea many photos took walked lot course pincio collosseo back milan domani,4,2009-06-02
@lindajean5 can't wait for wisconsin!!! ,2009-05-26 21:43:04,cant wait wisconsin,0,2009-05-26
on the way to Carcar to attend my Uncles's wake... ,2009-05-04 02:50:34,way carcar attend uncless wake,0,2009-05-04
"@pharsicle the 404 page is not bad, not bad at all ",2009-05-01 22:21:08,page bad bad,0,2009-05-01
"@capedshitheader Doubtful, it contained a few big words and no you betcha's- but a close friend none the less! ",2009-05-31 13:59:06,doubtful contained big words betchas close friend none less,0,2009-05-31
I wanna go to the museum. Who wants to go with?  I might just go ALONE... Lol. Ppl only hold me up.,2009-05-31 08:43:22,wanna go museum wants go might go alone lol ppl hold,1,2009-05-31
@TheMissus Damn straight!  I can't wait to hear about the shops in Toronto ,2009-06-07 11:00:27,damn straight cant wait hear shops toronto,0,2009-06-07
"ruh roh, guano in the studio! At least this problem could take care of the fly problem ",2009-06-02 11:17:59,ruh roh guano studio least problem could take care fly problem,0,2009-06-02
eating a chicken torta in science class. ,2009-06-04 11:39:45,eating chicken torta science class,0,2009-06-04
@106andpark TREY SONGZ! TREY SONGZ! TREY SONGZ!   ,2009-06-01 16:17:23,trey songz trey songz trey songz,0,2009-06-01
"@Hooked4Life I have some but that doesn't help you, huh?  And hey, you have a pic up finally!",2009-06-05 17:41:28,doesnt help huh hey pic finally,0,2009-06-05
woke up. Need to do some homework before school ,2009-05-17 22:10:53,woke need homework school,0,2009-05-17
It's storming and I hate storms! ,2009-06-19 14:47:29,storming hate storms,0,2009-06-19
"@AnnHawkins Ann, my darling, formatting your article for publication. Any preferred time? ",2009-04-20 02:22:52,ann darling formatting article publication preferred time,0,2009-04-20
"@Squirrel_Monkey we still have 8 mos on our contract for the current iphones, can't upgrade yet.  ",2009-06-16 02:12:38,still mos contract current iphones cant upgrade yet,0,2009-06-16
@schoollocker  unless of course it's an emergency...ugh   Hope the day gets better!,2009-06-21 07:35:38,unless course emergencyugh hope day gets better,0,2009-06-21
"going to bed, so tired i cant think strait ",2009-06-06 00:08:20,going bed tired cant think strait,0,2009-06-06
@tobinharris Does yUML support Interface + Class description at the same time? Can't get it working so far  --&gt; [&lt;&lt;T&gt;&gt;;TImpl|pi|getPi()],2009-06-03 05:08:12,yuml support interface class description time cant get working far gt ltlttgtgttimplpigetpi,0,2009-06-03
@boobonic Dope shirt! I need one ASAP! XS please ,2009-05-26 22:13:11,dope shirt need one asap xs please,0,2009-05-26
My friend got her dual citizenship passport - the same week I was denied due to a small technicality - still pursuing on a new front   ,2009-06-20 14:48:13,friend got dual citizenship passport week denied due small technicality still pursuing new front,0,2009-06-20
is going to miss Chrissy. ,2009-05-18 07:40:11,going miss chrissy,0,2009-05-18
Stuffed...now helping get some air conditioners in. Ugh on a full tummy ,2009-06-07 13:31:27,stuffednow helping get air conditioners ugh full tummy,0,2009-06-07
Getting ready for work  I would say I'm happy it's Friday but I also have work tomorrow... #SaveEarl!,2009-05-22 05:26:09,getting ready work would say im happy friday also work tomorrow saveearl,1,2009-05-22
@dNeero I'm not sure.  It was a show. ,2009-06-01 04:43:26,im sure show,3,2009-06-01
AUS survived a recession - does this mean more money hand outs from Mr Rudd ,2009-06-03 02:35:48,aus survived recession mean money hand outs mr rudd,0,2009-06-03
"Had a great day so far buried a bone in someones tomatoes, spooked a duck and now tea time : Raw Meaty Bones please human !! ",2009-06-07 09:03:01,great day far buried bone someones tomatoes spooked duck tea time raw meaty bones please human,0,2009-06-07
@MissyKesson June 4th. New York. I doesn't look like I'm going to be able to go because of work.  You going to Glastonbury Festival?,2009-05-31 18:38:10,june th new york doesnt look like im going able go work going glastonbury festival,1,2009-05-31
Romulan boots. Cool except for the slit. http://tinyurl.com/qls9z6 They look like Ninja boots.  #SArmy,2009-06-03 02:36:28,romulan boots cool except slit look like ninja boots sarmy,0,2009-06-03
@gollyjess I'm at work.  We'll bike ride soon.,2009-06-20 11:26:50,im work well bike ride soon,3,2009-06-20
"BACKK formt he gym + shopping, the shopping part was boring sorry ",2009-06-20 23:20:10,backk formt gym shopping shopping part boring sorry,0,2009-06-20
@zetinkerwiner they do when the period comes ,2009-06-16 20:58:39,period comes,0,2009-06-16
i don't know how to use twitter and reply to Erika Foy. ,2009-05-10 20:37:00,dont know use twitter reply erika foy,2,2009-05-10
@nikkylee I've never made it to 40 weeks so I can't even imagine  GL to her!,2009-06-05 16:25:33,ive never made weeks cant even imagine gl,0,2009-06-05
@NajiahYahya YEAY!. haha. thank you so much jiah ,2009-05-10 02:52:03,yeay haha thank much jiah,0,2009-05-10
@ddlovato She lost.  tears,2009-05-31 18:38:04,lost tears,0,2009-05-31
Watching more desperate housewives and eating special k ,2009-05-22 04:35:57,watching desperate housewives eating special k,0,2009-05-22
"i swear, the taxi person said as they picked up the fone, '..yeah stabbed him in the face HELLO TAXI!' i crapped myself ",2009-04-07 05:49:53,swear taxi person said picked fone yeah stabbed face hello taxi crapped,0,2009-04-07
And I definitely did NOT just do that thing where you go to put a CD in an iMac but miss and have it fall behind your desk    ,2009-06-18 12:36:03,definitely thing go put cd imac miss fall behind desk,0,2009-06-18
@MrAllen_aka_Neo Petition @BETAwardsInside &amp; @BET to DAY26 At The BET Awards http://twitition.com/m3v2n idk if u signed but plz do if not ,2009-06-07 20:02:48,petition amp day bet awards idk u signed plz,4,2009-06-07
Trying to find some new Mauy Thai Shorts on the net... no luck ,2009-06-19 05:50:17,trying find new mauy thai shorts net luck,0,2009-06-19
"Provided I get the tool to fix my car, and the new ignition coil and MAF sensor is all it needs, no idea which hospital I need. ",2009-06-06 18:12:54,provided get tool fix car new ignition coil maf sensor needs idea hospital need,0,2009-06-06
@okmeyer1 yep i am alive and in tulsa! finally took a shower but still without a phone  hopefully that will be fixed soon! yay bonnaroo!,2009-06-15 22:24:21,yep alive tulsa finally took shower still without phone hopefully fixed soon yay bonnaroo,0,2009-06-15
What a night! Just getting home &amp; I'm gonna knock the f*ck out! Lol good night....or should I say good morning! ,2009-05-17 04:26:36,night getting home amp im gonna knock fck lol good nightor say good morning,3,2009-05-17
@diigo fail again   New comment on &quot;Selecting any tags shows error: 'no bookmarks tagged (tag name)'&quot; : http://bit.ly/OEphu,2009-05-02 00:00:51,fail new comment quotselecting tags shows error bookmarks tagged tag namequot,0,2009-05-02
In Ohio. Ate too much again.  ,2009-06-24 21:52:31,ohio ate much,0,2009-06-24
@Spitphyre hehe .. some marketing genius shud get a sponsorship for #yayman and #yobabe to go out for Coffee date ,2009-04-20 22:45:41,hehe marketing genius shud get sponsorship yayman yobabe go coffee date,1,2009-04-20
It's a beautiful day ,2009-05-02 05:22:44,beautiful day,0,2009-05-02
"@kassorocks Don't feel to bad.  I got one but it's not like I'm gonna be able to use it, let alone see them this year.  ",2009-06-20 07:16:52,dont feel bad got one like im gonna able use let alone see year,2,2009-06-20
is new to twitter...don't know who I'm gonna follow...or who's gonna follow me... but let's give it a try ,2009-04-20 07:14:54,new twitterdont know im gonna followor whos gonna follow lets give try,3,2009-04-20
"just watched katie and peter stateside, it is my guilty pleasure. i love them  ",2009-06-06 17:59:19,watched katie peter stateside guilty pleasure love,0,2009-06-06
Good Morning ,2009-05-30 07:27:08,good morning,0,2009-05-30
"Just dislocated my shoulder. But i'm dropped off medical insurance, so i gotta suffer ",2009-06-23 16:30:33,dislocated shoulder im dropped medical insurance gotta suffer,3,2009-06-23
@papa_face Link worked fine  Ty :p,2009-04-19 11:56:03,link worked fine ty p,0,2009-04-19
@TomBeasley  just got home from the garden centre (?!) and a pub lunch. You had a food day what you've been awake to see so far? #examless,2009-06-03 05:46:12,got home garden centre pub lunch food day youve awake see far examless,0,2009-06-03
"@cosleia Thank you, Sweet Pea!   I'm resizing &quot;rooster&quot; and wardrobe pics for J.A. at the moment. ;)",2009-05-18 04:42:56,thank sweet pea im resizing quotroosterquot wardrobe pics ja moment,3,2009-05-18
i can't see most blog updates that I follow on my dashboard.  why is that? i'm missing their post.,2009-06-16 06:16:47,cant see blog updates follow dashboard im missing post,3,2009-06-16
@techsupportrich wanted to make it too ,2009-06-17 17:33:21,wanted make,0,2009-06-17
Grrr @skabbster woke me up at 3:45 when he got up for work &amp; I haven't been able to fall asleep again. He needs to come back to bed! ,2009-06-25 01:59:03,grrr woke got work amp havent able fall asleep needs come back bed,4,2009-06-25
Man would i love to golf today. Another beautiful sunny day in SD and i'm stuck in a golf store also to rub it in a bit more. ,2009-06-05 14:00:19,man would love golf today another beautiful sunny day sd im stuck golf store also rub bit,1,2009-06-05
Watching Storm of the Century ,2009-06-07 19:54:22,watching storm century,0,2009-06-07
I'm so glad I get to sleep in late tomorrow   ,2009-06-03 00:25:48,im glad get sleep late tomorrow,3,2009-06-03
"Oh my god BNP, suck my dick, seriously. ",2009-06-07 17:07:19,oh god bnp suck dick seriously,0,2009-06-07
"@saabmagalona I can't make it, doll, I have a family thing, we're gonna bring our dog na to be put to sleep ",2009-05-31 01:39:23,cant make doll family thing gonna bring dog na put sleep,0,2009-05-31
Im so tired. I didnt get back in till after midnight  i need sleep,2009-05-04 05:27:38,im tired didnt get back till midnight need sleep,4,2009-05-04
"So I did 9 job apps 2day, I better get some calls by friday or im blowin the place up! Cleaning up &amp; then getting reday for skool ",2009-06-01 13:25:36,job apps day better get calls friday im blowin place cleaning amp getting reday skool,3,2009-06-01
oh no! I missed the first #chukmemondays  no fair! Next week I'll have to put a reminder in my phone.,2009-06-01 12:55:13,oh missed first chukmemondays fair next week ill put reminder phone,0,2009-06-01
@saramills because the wall is interesting &amp; it's your friend ,2009-06-15 17:01:21,wall interesting amp friend,4,2009-06-15
@tallblackguy Even my swag battery needs to recharge from time to time. ,2009-06-02 07:41:56,even swag battery needs recharge time time,0,2009-06-02
"sun sun suuuuuuunn  today at the beach was awesome  eilish, hannah, grieg and jordan... lavv yuu guys  xxx",2009-05-31 11:35:56,sun sun suuuuuuunn today beach awesome eilish hannah grieg jordan lavv yuu guys xxx,1,2009-05-31
@MoneyMakinMatt shut up fool ....where you been at??? i dontlike the fact that you keep abandoning me ,2009-05-29 10:12:48,shut fool dontlike fact keep abandoning,0,2009-05-29
@sunriseon7 Kelly told Rove she isn't on twitter. This person is a fake. But happy to see Kelly on the show ,2009-06-01 23:20:25,kelly told rove isnt twitter person fake happy see kelly show,0,2009-06-01
"juliana, vai se fuder com esse layout ",2009-06-07 00:18:05,juliana vai se fuder com esse layout,0,2009-06-07
@nordstromphoto you ROCK! do you ever get a break? ,2009-06-15 16:46:52,rock ever get break,0,2009-06-15
"Paraguay, the leader of the exhausting 10-nation qualifying league, slipped to a  2-0 home defeat against Chile yesterday ",2009-06-07 07:04:28,paraguay leader exhausting nation qualifying league slipped home defeat chile yesterday,0,2009-06-07
"Sorry, @anambanana I slept early last night. Wasn't able to join the party. ",2009-05-30 19:55:25,sorry slept early last night wasnt able join party,0,2009-05-30
@shaundiviney There is going to be a million people on your myspace page now and my computer will slow down HEAPS ,2009-05-10 00:51:01,going million people myspace page computer slow heaps,0,2009-05-10
"@R1CC1 awww, well sleep is always good!  but seriously, awesome knockout... all my friends were going nuts! o.0 LOL",2009-05-03 00:04:59,awww well sleep always good seriously awesome knockout friends going nuts lol,0,2009-05-03
where did the day go... i gotta go to bed soon ,2009-06-17 19:52:21,day go gotta go bed soon,1,2009-06-17
all the puppies are sleeping  mmm quiet for once,2009-05-30 19:30:54,puppies sleeping mmm quiet,0,2009-05-30
Enjoying my god son ,2009-06-07 10:01:36,enjoying god son,0,2009-06-07
giants game  6th row !! Supporting Z ,2009-06-15 19:28:24,giants game th row supporting z,0,2009-06-15
Its a damn shame I don't like chocolate ,2009-06-06 15:29:16,damn shame dont like chocolate,2,2009-06-06
"my daughter has &quot;character&quot;as they say... good, maybe she wont settle for less ",2009-06-15 09:09:13,daughter quotcharacterquotas say good maybe wont settle less,0,2009-06-15
"If you want a copy of my poetry collection, let me know ASAP! ",2009-05-18 07:49:26,want copy poetry collection let know asap,0,2009-05-18
Just got back from the shops. Got 2 CD's and a DVD! ,2009-04-17 20:42:40,got back shops got cds dvd,4,2009-04-17
Cuz im smexii and stole your fone ,2009-06-06 15:50:34,cuz im smexii stole fone,3,2009-06-06
Wow I haven't had motion sickness in since I was little...argh don't feel good ,2009-06-21 05:03:27,wow havent motion sickness since littleargh dont feel good,2,2009-06-21
@twibble fresh install on the phone memory does the same ,2009-06-21 09:10:16,fresh install phone memory,0,2009-06-21
eating sour skittles ,2009-06-06 13:30:52,eating sour skittles,0,2009-06-06
"Had noodles and now nibbling on Meiji Apollo Damn. I can't watch Love or bread now. :| my sister is using the earphone, imma watch later. ",2009-06-06 01:14:03,noodles nibbling meiji apollo damn cant watch love bread sister using earphone imma watch later,0,2009-06-06
@haaswrites Guess that won't work #fail  ,2009-06-15 10:18:35,guess wont work fail,1,2009-06-15
"Like no one is tweeting today, this makes me sad ",2009-06-01 04:32:04,like one tweeting today makes sad,1,2009-06-01
Good morning! ,2009-06-07 07:15:53,good morning,0,2009-06-07
@notezonesoufed Get 100 followers a day using www.tweeterfollow.com Once you add everyone you are on the train or pay vip ,2009-06-15 15:56:48,get followers day using wwwtweeterfollowcom add everyone train pay vip,0,2009-06-15
"@betweenthenotes and poor me, i always have to find new things that hes not getting bored  not easy really",2009-06-03 03:09:48,poor always find new things hes getting bored easy really,0,2009-06-03
@caike Really cool! =D Preciso pegar esse! ,2009-06-15 05:08:26,really cool preciso pegar esse,0,2009-06-15
"@jmalonzo Nice! I never really learned to speak Ilocano because my parents didn't want us to. Besides, I can't roll my Rs. ",2009-04-19 01:37:57,nice never really learned speak ilocano parents didnt want us besides cant roll rs,0,2009-04-19
"For a couple of minutes tonight, there was chant, and it was music.  ",2009-06-06 23:51:18,couple minutes tonight chant music,0,2009-06-06
@Lakers So much for buying tickets to the NBA Finals. Even with Laker supporter presale code no tickets were available for any game here. ,2009-06-01 16:32:51,much buying tickets nba finals even laker supporter presale code tickets available game,0,2009-06-01
Thursday's nearly here ,2009-06-15 05:06:24,thursdays nearly,0,2009-06-15
I love our blinkies!!!! ,2009-06-07 01:11:53,love blinkies,0,2009-06-07
@CMRLee Hello! Can I be of assistance? ,2009-06-01 03:30:55,hello assistance,0,2009-06-01
is sad that he can't go see Britney one more time ,2009-06-15 08:01:57,sad cant go see britney one time,1,2009-06-15
@anaggh ya that too double doze. ,2009-06-02 06:05:34,ya double doze,0,2009-06-02
THERE'S no flames anymore! How can there be no flames? ,2009-06-20 00:32:57,theres flames anymore flames,0,2009-06-20
diet/day1: philly light with fracking wholemeal pitta.FRACK! Well at least watching 'the Machinist' will cheer me up. On second thoughts ,2009-05-30 04:10:01,dietday philly light fracking wholemeal pittafrack well least watching machinist cheer second thoughts,0,2009-05-30
@bourgtai wrong Bellevue. #fail ,2009-05-09 19:08:51,wrong bellevue fail,0,2009-05-09
"if you cant sleep, try to count your followers ",2009-06-16 03:01:14,cant sleep try count followers,0,2009-06-16
@dcholland RE: Ready or Not Here I Come Who doesn't feel like THIS some days?  AWESOME!!!,2009-04-20 05:49:25,ready come doesnt feel like days awesome,0,2009-04-20
"@harrisonhudson No, Manhattan Beach is in LA.  I wish I would be seeing you so soon. Seriously organize a west coast show and come here!",2009-05-31 09:32:49,manhattan beach la wish would seeing soon seriously organize west coast show come,0,2009-05-31
@h3lge  Please. Anytime. I will work on your ch33rs for me at a cafe. It should be done by this afternoon.,2009-04-21 03:30:49,please anytime work chrs cafe done afternoon,1,2009-04-21
Watching Mtv Cribs Awards ,2009-05-30 07:51:03,watching mtv cribs awards,0,2009-05-30
"@Haneefbhatti Evening! Oh, it IS morning. ",2009-05-10 07:29:10,evening oh morning,0,2009-05-10
@dropbox maintenance downtime issues ,2009-06-03 00:54:47,maintenance downtime issues,0,2009-06-03
"@AllyBingham yeah, but i wasn't. i'm sure josh would appreciate an addition to his face, if it's from you  hehe",2009-05-22 00:12:39,yeah wasnt im sure josh would appreciate addition face hehe,3,2009-05-22
@rachelshaw90 Okkaayyy!  I miss you too.  What time?,2009-06-22 19:34:33,okkaayyy miss time,0,2009-06-22
had a nice lunch at work @GOYELLO ... barrel of laughs ,2009-06-02 04:37:40,nice lunch work barrel laughs,1,2009-06-02
"watching the Braves - wow, I completely forgot about Tim Hudson. Also just laid out by the pool but am certain I only reflected the sun ",2009-05-30 14:14:46,watching braves wow completely forgot tim hudson also laid pool certain reflected sun,0,2009-05-30
Doesn't have a phone till morning. i'm such a nice sister. i guess i'll hit the hay early. goooodnight ,2009-06-16 00:16:00,doesnt phone till morning im nice sister guess ill hit hay early goooodnight,3,2009-06-16
"@abigaeLettuce it's my cellphone wallpaper. XD need to sleep, friend. ) have a great day theerrree!!! ",2009-06-03 07:05:20,cellphone wallpaper xd need sleep friend great day theerrree,0,2009-06-03
"Got a few friends requests on TheSims3.com, i hate those emails really annoying ",2009-05-30 10:31:43,got friends requests thesimscom hate emails really annoying,0,2009-05-30
@1capplegate  x100. I'll miss the show.,2009-06-25 09:16:11,x ill miss show,0,2009-06-25
"Thats a little annoying. SSMS addin works in 2005, not 2008 ",2009-06-03 08:21:11,thats little annoying ssms addin works,0,2009-06-03
"@jerrytrainor Hey Jerry, big fan of you, and I just noticed you left Project Lore permanently.  Do you still get on WoW? =/",2009-06-07 04:25:22,hey jerry big fan noticed left project lore permanently still get wow,0,2009-06-07
"@Jinxie_G Wow thanks hon   I think I need to make t-shirts of that &quot;From Kung Fu to Kill Bill&quot; thing, those might sell lol",2009-06-05 18:27:50,wow thanks hon think need make tshirts quotfrom kung fu kill billquot thing might sell lol,0,2009-06-05
@simonecarlenetm you've been super under the radar lately...starting with the blog. ,2009-06-06 11:43:03,youve super radar latelystarting blog,0,2009-06-06
@rachelkae I heard  I woke up at 5 EST this morning to try to download.  Only a few more hours then.,2009-06-17 06:32:24,heard woke est morning try download hours,0,2009-06-17
@BonanzleNoSpin I promise not to feed any trolls while your're gone-not even in China ,2009-05-01 21:00:51,promise feed trolls yourre gonenot even china,0,2009-05-01
Is Lovin The Weather Bu Cnt Believe I Av 2 Work  Lol,2009-04-20 03:26:19,lovin weather bu cnt believe av work lol,1,2009-04-20
"Maybe next week, I'll try to mow a little slower....(and on YOUR level)   ...get it, level??   I love you JD!-you ARE my friend..always.",2009-06-06 14:33:33,maybe next week ill try mow little slowerand level get level love jdyou friendalways,0,2009-06-06
@captainmorgann I was gonna go to the signing but I can't ,2009-06-16 06:48:29,gonna go signing cant,1,2009-06-16
Sad ....School ended ..... and I miss it and all my friends ,2009-06-15 12:32:19,sad school ended miss friends,0,2009-06-15
@guyjbfanforlife Cutest background ever ,2009-05-31 07:08:10,cutest background ever,0,2009-05-31
@mnb this is really fuckin' css ,2009-06-16 22:39:04,really fuckin css,0,2009-06-16
ahhh it feels nice to sleep in   now its time to study :/,2009-06-16 06:10:34,ahhh feels nice sleep time study,0,2009-06-16
It's raining...why is there always something with the weather in Chicago? it can never be consistently NICE!! ,2009-04-19 07:34:30,rainingwhy always something weather chicago never consistently nice,0,2009-04-19
I'm back guys :3 wee. I'm ready to tweet again ,2009-06-03 03:14:30,im back guys wee im ready tweet,3,2009-06-03
"grr, restaurant city is under maintenance ",2009-06-17 02:10:37,grr restaurant city maintenance,0,2009-06-17
"kimberley eating chocolate yoghurt.smells nice.nicenicenicenicenice.im hungry,no breakkie ",2009-06-16 13:16:58,kimberley eating chocolate yoghurtsmells niceniceniceniceniceniceim hungryno breakkie,0,2009-06-16
Wishes @iamjonathancook read @ replies. ,2009-06-18 18:56:11,wishes read replies,0,2009-06-18
Today's #weight = 167 :: Day 75 of 100: +2.2 lbs/lost 17 lbs &amp; 12 lbs 2 go. Sooo mad at myself for not tracking yesterday! Grrrr... ,2009-05-18 06:11:45,todays weight day lbslost lbs amp lbs go sooo mad tracking yesterday grrrr,1,2009-05-18
@hollie__ Me neither  Come back cast!,2009-05-10 02:52:33,neither come back cast,4,2009-05-10
Pretty day ,2009-06-06 09:35:42,pretty day,0,2009-06-06
@NurseStacy I knew I should have kept my mouth shut. But when you are on a dance team you know all those cheesy dance songs. ,2009-06-05 18:59:43,knew kept mouth shut dance team know cheesy dance songs,0,2009-06-05
"@sjc0815 masochist!!!! you should watch Terms of Endearment, maybe that will cheer you up ",2009-06-16 19:49:08,masochist watch terms endearment maybe cheer,0,2009-06-16
"@Valkyrie_NYC I've been trying to hit 13K, and they don't want me to. ",2009-06-06 00:27:09,ive trying hit k dont want,2,2009-06-06
"waiting on declan, probably asleep the lucky buggar. library to study, then study at home more. social life where are you? ",2009-05-10 03:19:41,waiting declan probably asleep lucky buggar library study study home social life,0,2009-05-10
revising ,2009-06-06 04:27:04,revising,0,2009-06-06
What Shaina said ,2009-06-23 14:20:28,shaina said,0,2009-06-23
my dread was validated... today was horrible ,2009-06-22 17:14:55,dread validated today horrible,1,2009-06-22
I wanna buy so much  things are so nice at this mall.,2009-06-20 16:08:51,wanna buy much things nice mall,0,2009-06-20
@SoundBwoyFast Gloomy as ever. I wanted to hit the beach too.  might as well get like you and handle my errands too lol,2009-05-29 07:53:11,gloomy ever wanted hit beach might well get like handle errands lol,0,2009-05-29
awesome try!!! mitchell's poor head ,2009-06-06 02:56:10,awesome try mitchells poor head,0,2009-06-06
Had a very good pasta dinner. Need some carbs for the race tomorrow ,2009-05-31 11:45:59,good pasta dinner need carbs race tomorrow,0,2009-05-31
listening 2 beautiful by Akon CHICKS RULE..... ,2009-05-14 03:52:28,listening beautiful akon chicks rule,0,2009-05-14
Tweeting in class. Getting bored of revision. But my knowledge is still very shallow. ,2009-06-15 21:40:14,tweeting class getting bored revision knowledge still shallow,0,2009-06-15
Heading to dena's party. ,2009-05-30 15:36:02,heading denas party,0,2009-05-30
shit! drawer hit my left thumb ,2009-06-02 06:48:55,shit drawer hit left thumb,0,2009-06-02
Alex and Kim are coming over soon for dinner to talk about trip down to LA.  Watching Conan till then! ,2009-06-06 16:47:15,alex kim coming soon dinner talk trip la watching conan till,0,2009-06-06
@cmcadams Thanks for the suggestion for Tyler's burger recipe. ,2009-06-07 10:19:44,thanks suggestion tylers burger recipe,0,2009-06-07
@ashleighdodgson and you didnt text me back ,2009-05-17 10:46:05,didnt text back,4,2009-05-17
"Just back from the Jonas Brothers 3D concert at the cinema! It was so good, I love them so much! ",2009-05-29 12:21:30,back jonas brothers concert cinema good love much,4,2009-05-29
Alright...I already miss Wifi Toggle concerning 3.0 ,2009-06-18 07:01:03,alrighti already miss wifi toggle concerning,0,2009-06-18
@Pandabeara well wooptie de doo - chips and soda is $$$$ too    Junkfood junkie,2009-06-15 20:53:21,well wooptie de doo chips soda junkfood junkie,0,2009-06-15
@davidfarrier was that chang I saw on min.3.42 ? looks like you'll blend in well David ,2009-05-30 18:24:28,chang saw min looks like youll blend well david,0,2009-05-30
Tar: &quot;Guinan WTF?&quot; Guinan: &quot;Not belong. Lame death. Epic Fail.&quot; Yar: &quot;Not Like  &quot;,2009-06-01 21:48:18,tar quotguinan wtfquot guinan quotnot belong lame death epic failquot yar quotnot like quot,0,2009-06-01
@crucifire Bas yaar lazy saturday chal rahaa hai... still on my bed... under the covers.. Lunch invite @ 1:00 wil be leaving soon ,2009-06-06 00:07:26,bas yaar lazy saturday chal rahaa hai still bed covers lunch invite wil leaving soon,0,2009-06-06
@reflective I hope she is feeling better quickly...will pray for her! ,2009-05-18 07:55:44,hope feeling better quicklywill pray,0,2009-05-18
Listening to Kate Voegele. She is great in OTH. And yes...I'm very bored at the moment ,2009-06-01 06:34:36,listening kate voegele great oth yesim bored moment,0,2009-06-01
@selenagomez http://twitpic.com/3knsj - Follow meeeeee ,2009-04-19 01:13:25,follow meeeeee,0,2009-04-19
"Quiero ver Transformers 2, The Proposal y Up ",2009-06-16 00:23:26,quiero ver transformers proposal,0,2009-06-16
@SuppaKid YESSSS I do!!! It's awesome! I love everything about it... ,2009-06-02 02:14:35,yessss awesome love everything,0,2009-06-02
I hate exams - especially when they mean I canât go see Passion Pit  http://tumblr.com/x8t1ykjlq,2009-06-05 10:08:24,hate exams especially mean cant go see passion pit,1,2009-06-05
Physics exam - Done!  Waiting for results... I am happy  I WANT TO RECORD PODCAST! ,2009-06-14 23:55:57,physics exam done waiting results happy want record podcast,0,2009-06-14
eating gold fish :0 Yummy ,2009-04-19 00:27:36,eating gold fish yummy,0,2009-04-19
restaurant citying on a saturday night ,2009-05-22 06:53:25,restaurant citying saturday night,0,2009-05-22
"Pub Crawl was a total win! Night finished off at 322 with the most amazing drag performance ever! Shit was epic. Also, April was amazing. ",2009-05-30 00:16:01,pub crawl total win night finished amazing drag performance ever shit epic also april amazing,0,2009-05-30
"@oficialkellykey kelly, cliquei no link do seu orkut, e nao apareceu ",2009-06-23 08:41:19,kelly cliquei link seu orkut e nao apareceu,0,2009-06-23
"@joejackoff sorry about that, kiddo  ",2009-05-18 07:36:26,sorry kiddo,0,2009-05-18
Pretty much lost my voice.  ,2009-06-06 17:38:30,pretty much lost voice,0,2009-06-06
my blackberry isn't still here...  I want it so bad!!!,2009-06-25 03:55:37,blackberry isnt still want bad,0,2009-06-25
Gonna watch David Cook &quot;Cookie&quot; tonight. I'm already hearing it's sad. ,2009-06-15 18:01:17,gonna watch david cook quotcookiequot tonight im already hearing sad,3,2009-06-15
Just about to get on the plane ,2009-06-23 11:02:53,get plane,0,2009-06-23
@efan78 your link is broken  *sobs*,2009-06-19 01:01:29,link broken sobs,0,2009-06-19
"at work STILL. Always love coming home from vacation to over a 1,000 emails (mostly from work people). Ridiculous ",2009-05-29 19:07:12,work still always love coming home vacation emails mostly work people ridiculous,1,2009-05-29
"Argh... I am not feeling that well today, and my new look with the social site been canceled ",2009-04-07 04:42:20,argh feeling well today new look social site canceled,1,2009-04-07
@sunreon I am going to cry forever when they cut it down. I thought we had months left to prepare and be ready to basically move first. ,2009-06-20 15:45:00,going cry forever cut thought months left prepare ready basically move first,0,2009-06-20
omgg i don't understand this twitter thing ,2009-06-18 22:15:21,omgg dont understand twitter thing,2,2009-06-18
My dad is coming back home!! YIEY!!  ,2009-05-29 15:08:54,dad coming back home yiey,4,2009-05-29
"@aramisette I demanded a theme!  Well, basically I am just not very creative tonight.    It's all @PinkFluffGirl with the creativity!",2009-05-29 20:01:23,demanded theme well basically creative tonight creativity,0,2009-05-29
"@Cryophile LOLYOU.  But that's a good thing at least, right? No having to sleep out in the rain.",2009-06-15 17:51:31,lolyou thats good thing least right sleep rain,0,2009-06-15
"Not to worry, noone got that one. Next question starts in 1 minute, get your thinking caps on ",2009-05-22 01:30:42,worry noone got one next question starts minute get thinking caps,0,2009-05-22
"@madnilk a, gotcha! well, i have no idea how many malaysians are on our list - but don't think there are many ",2009-06-06 21:03:01,gotcha well idea many malaysians list dont think many,2,2009-06-06
@beauttweet  Awwe otays... no GW on tonight ,2009-05-22 06:31:16,awwe otays gw tonight,0,2009-05-22
"Time to get iPhone OS 3.0, but I gotta update iTunes first ",2009-06-17 14:23:53,time get iphone os gotta update itunes first,0,2009-06-17
Sitting in my trailer!  watchm youtue vids!,2009-05-16 20:54:41,sitting trailer watchm youtue vids,0,2009-05-16
@Hopexo well go get your toothbrush and get it off then ,2009-06-06 04:52:48,well go get toothbrush get,1,2009-06-06
@thespinlight Hey Ciara. ,2009-06-15 21:05:22,hey ciara,0,2009-06-15
@revHardware I'm only here for 4 days  boo,2009-05-22 00:21:36,im days boo,3,2009-05-22
ouch.. ive just managed to hit my eat off a cupboard door.. argh ,2009-06-15 16:42:17,ouch ive managed hit eat cupboard door argh,0,2009-06-15
